Reviewee name,Reviewee email,Reviewer name,Reviewer email,isSelfNominated
Anand Nigam,anigam@assess.com,Matt Hong,mhing@assess.com,FALSE
Anand Nigam,anigam@assess.com,Michael Nixon,mnixon@assess.com,FALSE
Anand Nigam,anigam@assess.com,Sandy Anurus,sandy@assess.com,TRUE
Anand Nigam,anigam@assess.com,Rocky Fan,rocky@assess.com,TRUE
Matt Hong,mhing@assess.com,Michael Nixon,mnixon@assess.com,FALSE
Matt Hong,mhing@assess.com,Sandy Anurus,sandy@assess.com,FALSE
Matt Hong,mhing@assess.com,Rocky Fan,rocky@assess.com,TRUE
Matt Hong,mhing@assess.com,Chris Rico,crico@assess.com,TRUE
Michael Nixon,mnixon@assess.com,Sandy Anurus,sandy@assess.com,FALSE
Michael Nixon,mnixon@assess.com,Rocky Fan,rocky@assess.com,FALSE
Michael Nixon,mnixon@assess.com,Chris Rico,crico@assess.com,TRUE
Michael Nixon,mnixon@assess.com,Unoose Ayoob,unoose@assess.com,TRUE
Sandy Anurus,sandy@assess.com,Rocky Fan,rocky@assess.com,FALSE
Sandy Anurus,sandy@assess.com,Chris Rico,crico@assess.com,FALSE
Sandy Anurus,sandy@assess.com,Unoose Ayoob,unoose@assess.com,TRUE
Sandy Anurus,sandy@assess.com,Sveta West,swest@assess.com,TRUE
Rocky Fan,rocky@assess.com,Chris Rico,crico@assess.com,FALSE
Rocky Fan,rocky@assess.com,Unoose Ayoob,unoose@assess.com,FALSE
Rocky Fan,rocky@assess.com,Sveta West,swest@assess.com,TRUE
Rocky Fan,rocky@assess.com,Jordan Chan,jordan@citi.com,TRUE
Chris Rico,crico@assess.com,Unoose Ayoob,unoose@assess.com,FALSE
Chris Rico,crico@assess.com,Sveta West,swest@assess.com,FALSE
Chris Rico,crico@assess.com,Jordan Chan,jordan@citi.com,TRUE
Chris Rico,crico@assess.com,Abhinav Nigam,abhi@assess.com,TRUE
Unoose Ayoob,unoose@assess.com,Sveta West,swest@assess.com,FALSE
Unoose Ayoob,unoose@assess.com,Jordan Chan,jordan@citi.com,FALSE
Unoose Ayoob,unoose@assess.com,Abhinav Nigam,abhi@assess.com,TRUE
Unoose Ayoob,unoose@assess.com,Anand Nigam,anigam@assess.com,TRUE
Sveta West,swest@assess.com,Jordan Chan,jordan@citi.com,FALSE
Sveta West,swest@assess.com,Abhinav Nigam,abhi@assess.com,FALSE
Sveta West,swest@assess.com,Anand Nigam,anigam@assess.com,TRUE
Sveta West,swest@assess.com,Matt Hong,mhing@assess.com,TRUE
Jordan Chan,jordan@citi.com,Abhinav Nigam,abhi@assess.com,FALSE
Jordan Chan,jordan@citi.com,Anand Nigam,anigam@assess.com,FALSE
Jordan Chan,jordan@citi.com,Matt Hong,mhing@assess.com,TRUE
Jordan Chan,jordan@citi.com,Michael Nixon,mnixon@assess.com,TRUE
Abhinav Nigam,abhi@assess.com,Anand Nigam,anigam@assess.com,FALSE
Abhinav Nigam,abhi@assess.com,Matt Hong,mhing@assess.com,FALSE
Abhinav Nigam,abhi@assess.com,Michael Nixon,mnixon@assess.com,TRUE
Abhinav Nigam,abhi@assess.com,Sandy Anurus,sandy@assess.com,TRUE
