name,email,customer,designation,isEmployee,employeeId,manager
Anand Nigam,anigam@assess.com,Expedia,Developer,TRUE,35522,
Matt Hong,mhing@assess.com,Expedia,Manager,TRUE,35523,
Michael Nixon,mnixon@assess.com,Expedia,VP,TRUE,35524,
Sandy Anurus,sandy@assess.com,Expedia,Director,TRUE,35525,
Rocky Fan,rocky@assess.com,Expedia,Developer,TRUE,35526,
Chris Rico,crico@assess.com,Expedia,Developer,TRUE,35527,
Unoose Ayoob,unoose@assess.com,Expedia,Manager,TRUE,35528,
Sveta West,swest@assess.com,Expedia,Developer,TRUE,35529,
Jordan Chan,jordan@citi.com,Expedia,,N,,
Abhinav Nigam,abhi@assess.com,Expedia,,N,,
