name,email,customer,designation,isEmployee,employeeId,manager
Anand Nigam,anigam@assess.com,Expedia,Developer,TRUE,35522,abhi@assess.com
Matt Hong,mhing@assess.com,Expedia,Manager,TRUE,35523,abhi@assess.com
Michael Nixon,mnixon@assess.com,Expedia,VP,TRUE,35524,jordan@citi.com
Sandy Anurus,sandy@assess.com,Expedia,Director,TRUE,35525,jordan@citi.com
Rocky Fan,rocky@assess.com,Expedia,Developer,TRUE,35526,unoose@assess.com
Chris Rico,crico@assess.com,Expedia,Developer,TRUE,35527,rocky@assess.com
Unoose Ayoob,unoose@assess.com,Expedia,Manager,TRUE,35528,
Sveta West,swest@assess.com,Expedia,Developer,TRUE,35529,anigam@assess.com
Jordan Chan,jordan@citi.com,Expedia,,N,,rocky@assess.com
Abhinav Nigam,abhi@assess.com,Expedia,,N,,rocky@assess.com
